Node,Processes,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,1,4,guided,16,0.03034,0.375939,0.46528,1.845314,0.993031,5.549369,17.949723,18.37419,45.590698
1,1,4,guided,16,0.031439,0.37634,0.468526,1.846336,1.015789,4.993645,17.427055,18.545351,44.711995
1,1,4,guided,16,0.030359,0.355712,0.457996,1.846076,0.997779,4.532388,16.922339,18.164406,43.314437
1,1,4,guided,16,0.029471,0.366738,0.473937,1.855797,0.976165,4.027073,16.395785,18.445736,42.578157
1,1,4,guided,16,0.03129,0.349328,0.446003,1.864758,0.988931,3.190166,12.825662,16.601046,36.305172
1,1,4,guided,32,0.03078,0.353398,0.452139,1.854755,0.972624,6.202414,15.693226,20.146562,45.713224
1,1,4,guided,32,0.031182,0.365549,0.46576,1.833199,0.965662,9.211465,23.866962,25.480203,62.227304
1,1,4,guided,32,0.031342,0.352379,0.453509,1.862536,0.991767,7.638246,23.682056,25.502429,60.521688
1,1,4,guided,32,0.018623,0.362779,0.423009,1.842851,1.008196,9.217783,17.538006,18.014248,48.432823
1,1,4,guided,32,0.030856,0.371224,0.462609,1.860957,1.011316,3.723571,18.631781,18.144284,44.24435
1,1,4,guided,64,0.031868,0.369708,0.451793,1.860245,1.003902,6.209894,18.216961,14.385627,42.53756
1,1,4,guided,64,0.028568,0.360752,0.481134,1.857968,1.011074,6.22201,18.605977,16.828365,45.403621
1,1,4,guided,64,0.031906,0.363816,0.469735,1.856883,1.005202,4.833423,17.887336,16.086348,42.542206
1,1,4,guided,64,0.015004,0.374819,0.437043,1.858896,1.007753,6.204989,17.931697,18.524609,46.36335
1,1,4,guided,64,0.029353,0.326465,0.468931,1.85872,1.016098,5.864456,18.490639,18.684715,46.74697
1,1,4,guided,128,0.030767,0.358356,0.461158,1.836332,0.999344,5.74077,15.982163,18.630143,44.046919
1,1,4,guided,128,0.029423,0.344133,0.473009,1.85515,1.001251,4.645114,18.736348,18.747016,45.839379
1,1,4,guided,128,0.030065,0.348138,0.460311,1.849015,0.995495,6.21703,18.683348,18.826166,47.417132
1,1,4,guided,128,0.030928,0.365049,0.465905,1.859139,0.98805,6.20707,15.703457,18.342966,43.970119
1,1,4,guided,128,0.030587,0.366686,0.460565,1.855485,0.999792,6.212565,18.497342,18.692828,47.123482
1,1,4,guided,256,0.029318,0.358073,0.471821,1.873852,1.014767,6.210914,18.611931,18.586772,47.164972
1,1,4,guided,256,0.030658,0.353964,0.469773,1.863615,0.997561,6.10399,18.329803,18.087381,46.244197
1,1,4,guided,256,0.032971,0.34879,0.473704,1.854698,1.013261,6.230801,18.569701,15.119988,43.651251
