Label,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 1024",16,dynamic,1024,0.0295,0.3081,0.4464,1.6765,1.0571,3.1953,9.6133,9.6187,25.9751
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 2048",16,dynamic,2048,0.0259,0.3032,0.4398,1.6626,1.0435,3.1969,9.6256,9.6359,25.9529
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 4096",16,dynamic,4096,0.0292,0.3017,0.4375,1.6947,1.047,3.2002,9.6291,9.7408,26.016
"OpenMP: Threads 16, Schedule guided, ChunkSize 16",16,guided,16,0.0155,0.1729,0.3979,1.0715,0.7413,3.1792,9.5131,9.5239,24.5636
"OpenMP: Threads 16, Schedule guided, ChunkSize 32",16,guided,32,0.0315,0.1812,0.4144,1.0864,0.7217,3.2643,10.3365,10.286,28.8345
"OpenMP: Threads 16, Schedule guided, ChunkSize 64",16,guided,64,0.0294,0.1831,0.4052,1.0874,0.7186,3.1953,9.479,9.4444,24.5487
"OpenMP: Threads 16, Schedule guided, ChunkSize 128",16,guided,128,0.015,0.1728,0.3949,1.0899,0.7443,3.1805,9.4869,9.5456,24.6502
"OpenMP: Threads 16, Schedule guided, ChunkSize 256",16,guided,256,0.0147,0.1701,0.3914,1.0866,0.7245,3.194,9.8076,11.6722,26.1907
"OpenMP: Threads 16, Schedule guided, ChunkSize 512",16,guided,512,0.0172,0.1795,0.3952,1.0955,0.7377,3.194,9.5261,9.5425,24.7031
"OpenMP: Threads 16, Schedule guided, ChunkSize 1024",16,guided,1024,0.025,0.1758,0.3998,1.0852,0.7326,3.1961,9.5189,9.6971,24.8574
"OpenMP: Threads 16, Schedule guided, ChunkSize 2048",16,guided,2048,0.0307,0.1697,0.3976,1.0951,0.7211,3.1932,9.5693,9.5622,24.6796
"OpenMP: Threads 16, Schedule guided, ChunkSize 4096",16,guided,4096,0.0289,0.1778,0.406,1.1214,0.7263,3.1823,11.5234,9.5242,32.0679
"OpenMP: Threads 16, Schedule static, ChunkSize 16",16,static,16,0.0289,0.281,0.4478,1.3916,0.9368,5.8937,13.856,17.0889,38.8627
"OpenMP: Threads 16, Schedule static, ChunkSize 32",16,static,32,0.0298,0.2454,0.4446,1.3598,0.9598,4.7065,16.9113,15.955,42.3237
"OpenMP: Threads 16, Schedule static, ChunkSize 64",16,static,64,0.0288,0.2142,0.424,1.288,0.8997,6.1489,15.7391,17.132,41.9647
"OpenMP: Threads 16, Schedule static, ChunkSize 128",16,static,128,0.0158,0.2079,0.4246,1.2378,0.8527,6.243,15.8667,16.6559,42.8471
"OpenMP: Threads 16, Schedule static, ChunkSize 256",16,static,256,0.017,0.1987,0.4117,1.2237,0.8329,5.875,17.842,13.4995,42.0659
"OpenMP: Threads 16, Schedule static, ChunkSize 512",16,static,512,0.0313,0.1905,0.4158,1.1927,0.8155,4.4114,13.5031,17.6187,39.4083
"OpenMP: Threads 16, Schedule static, ChunkSize 1024",16,static,1024,0.0178,0.1907,0.4214,1.1828,0.7845,5.7833,15.9359,16.629,41.9786
"OpenMP: Threads 16, Schedule static, ChunkSize 2048",16,static,2048,0.0155,0.1946,0.416,1.1853,0.7729,5.956,12.1218,17.3272,35.5111
"OpenMP: Threads 16, Schedule static, ChunkSize 4096",16,static,4096,0.0161,0.1919,0.3924,1.1589,0.7831,3.1982,9.5555,9.5475,24.8614
